formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Li9Mn7O16,mp-1100509,0.455999999999999,-2.120397009547413,0.047063991718738006,32,298.1800293365599,3.915090045363953,P-1,2,triclinic,3.013127,6.06617081558787,16.372810891797965,90.00814465757709,90.87455619533766,94.7998759173588,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100510,0.676099999999999,-2.126781294547413,0.040679706718738,32,299.77510781764425,3.8942581760058532,P-1,2,triclinic,3.017926,5.104265701422781,19.97573242641656,91.82984564956502,91.4654007729743,102.77390102524721,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100511,0.708299999999999,-2.124806872672414,0.042654128593738,32,298.64860487641613,3.9089473231089773,P-1,2,triclinic,3.013477,10.198565824189057,10.78974338895467,114.92774330477368,93.56030523262308,93.64934491753954,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100512,0.591599999999999,-2.124865317047414,0.042595684218738,32,299.48837178652707,3.89798661503296,P-1,2,triclinic,3.02123,6.5029610341002355,15.7214863196832,87.68139609990476,85.12212558394678,76.74245268975378,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100513,0.6052000000000001,-2.128203504547413,0.039257496718738,32,297.76965896578105,3.920485615077567,P-1,2,triclinic,3.013589,7.858112935377361,12.64680321534719,88.638763637524,89.73766758666729,84.008280587648,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100514,0.757799999999999,-2.140352973297413,0.027108027968738003,32,297.54520100550087,3.923443095828371,P-1,2,triclinic,5.290858,7.666428161557897,7.771960412454891,95.00269420982593,105.7148953467402,98.38992946412591,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100515,0.0,-2.132998786422414,0.034462214843737,32,297.3947920546562,3.9254273974217693,P-1,2,triclinic,5.096922,6.062124957236859,10.122639705552945,93.26122481171251,100.17766355409206,103.77066239477229,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100516,0.0,-2.134250181109913,0.033210820156238004,32,297.71608747114533,3.921191073341114,P-1,2,triclinic,5.102156,6.068054272783822,9.85681511889941,85.67393605458612,78.09797151134441,88.17936029415574,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100517,0.6463999999999991,-2.137494336734914,0.029966664531237003,32,297.9781425376711,3.917742605682266,P-1,2,triclinic,6.042881,6.493310767591598,8.15041120882143,87.99436816758319,105.41002943147821,104.74271354977586,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100518,0.0,-2.133026591109914,0.034434410156237,32,297.5274162325519,3.923677620584177,P-1,2,triclinic,5.093615,6.059946422615467,10.430059990622105,76.18633994722843,75.90222699390927,76.12762180047353,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100519,0.6008,-2.138186002359913,0.029274998906238,32,298.539977570052,3.910369639885058,P-1,2,triclinic,5.10653,7.688151656249505,8.127082157343372,100.13855822742254,99.5508157609089,103.26076984890777,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li9Mn7O16,mp-1100520,0.5878000000000001,-2.136823401109914,0.030637600156238003,32,299.5713211142852,3.896907288186436,P-1,2,triclinic,5.09455,7.693433078713949,8.133468198700356,79.97938622994961,86.0608130975049,72.63621958700163,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
