formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
ZrBe2,mp-1252,0.0,-0.16392619333333502,0.028948296666665003,3,41.044119932149485,4.4199065952450685,P6/mmm,191,hexagonal,3.8233687,3.823368005244751,3.24211235,90.0,90.0,120.0000060110142,bi-metallic metal,Zr,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrBe5,mp-11283,0.0,-0.241093112499999,0.0,6,62.55311954982862,3.6178278377114923,P6/mmm,191,hexagonal,4.56700518,4.567005666516938,3.46302165,90.0,90.0,119.99998171934322,bi-metallic metal,Zr,ZrO[+2],Passivation,ZrO[+2],Passivation
ZrBe13,mp-30445,0.0,-0.19806794892857102,0.0,28,250.47066813858683,2.76301462446757,Fm-3c,226,cubic,7.075502740966268,7.075500283769779,7.07546843,60.00014887747759,60.00016036541225,60.00036662629551,bi-metallic metal,Zr,ZrO[+2],Passivation,ZrO[+2],Passivation
Zr2Be17,mp-2544,0.0,-0.23725090289473502,0.0,19,179.46799402304575,3.105670175478323,R-3m,166,trigonal,5.6810707211304345,5.68107159149008,5.681071338791548,82.9102363769982,82.91022990849355,82.9102463290682,bi-metallic metal,Zr,ZrO[+2],Passivation,ZrO[+2],Passivation
Be2Nb3,mp-11272,0.0,-0.134875928000002,0.0,10,143.9334137584123,6.846974142902572,P4/mbm,127,tetragonal,3.37386193,6.531563600000081,6.531563600000081,90.000018070605,90.0,90.0,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be2Nb,mp-2028,0.0,-0.18998123333333303,0.021783169523808002,6,70.21476548700666,5.246897367565542,Fd-3m,227,cubic,4.630712683684221,4.630711910221505,4.63071222,60.00000507350449,60.00001059877382,60.0000015405781,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be3Nb,mp-11273,0.0,-0.23579205124999802,0.0,12,127.14756365961723,4.699340875736425,R-3m,166,trigonal,7.504639586972209,7.504649031364304,7.5046361864698214,35.46560815603187,35.46568640769859,35.46559875053081,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be12Nb,mp-568912,0.0,-0.148409677692308,0.0,13,113.14664784065326,2.95064540871129,I4/mmm,139,tetragonal,4.200624284248806,5.599863482979928,5.599869289248874,81.88353736288352,67.94140990286728,67.9414741868792,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be17Nb2,mp-30441,0.0,-0.197799639210526,0.0,19,168.9843560186009,3.331407268599828,R-3m,166,trigonal,5.566687296152111,5.566704095914724,5.566703102362567,83.05184097897165,83.05187013394617,83.05139718425549,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be2Mo,mp-1677,0.0,-0.31991649249999904,0.0,12,124.55101112110948,6.077583053523648,P6_3/mmc,194,hexagonal,4.441862470012387,4.44186289589933,7.28928699,90.0,90.0,119.9996984967331,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be12Mo,mp-1475,0.0,-0.12780441923076802,0.0,13,109.42311317098178,3.097088646671659,C2/m,12,monoclinic,4.203345798291962,5.518412551098539,5.518415413321266,81.67059655776404,67.60452421857697,67.60454740144003,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be22Mo,mp-30440,0.0,-0.052264163478261,0.019973116956521,46,387.58071716128796,2.520991693944908,Fd-3m,227,cubic,8.183876323961002,8.183876003384249,8.18381659,60.000236069815934,60.000237365594636,60.000493571727645,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be2Ru,mp-1103315,0.0,-0.332087546666664,0.0,12,114.09763940678378,6.9330389326923285,P6_3/mmc,194,hexagonal,4.330043104259187,4.330043104259187,7.026817550000107,89.99998776353026,90.00000400097497,119.99933480887269,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be3Ru,mp-865562,0.0,-0.334430163749999,0.0,4,37.55360843506157,5.6645934488037195,I4/mmm,139,tetragonal,4.365925309478186,4.365925309478186,4.365925309478186,137.49501830309708,137.49501830309708,61.67728834796783,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be3Ru,mp-984612,0.0,-0.31002588750000104,0.024404276249999003,8,74.25609707702625,5.729520744930296,P6_3/mmc,194,hexagonal,4.776990030976129,4.7781383572410885,3.7568126700158766,90.00043063377882,89.99975602372032,120.00710756877919,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be17Ru3,mp-30443,0.0,-0.277945204875,0.0,80,715.8890873810998,4.234725342852341,Im-3,204,cubic,9.760884735354573,9.76088555563177,9.76088582000005,109.47123028348123,109.47122085166565,109.47121161910697,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
BeRh,mp-11276,0.0,-0.607815922499999,0.0,2,21.205361458384303,8.763995066485208,Pm-3m,221,cubic,2.7678883,2.7678883,2.7678883,90.0,90.0,90.0,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be3Rh,mp-1183411,0.0,-0.429666691249999,0.012471473750000002,4,38.01219136349498,5.676437901555782,I4/mmm,139,tetragonal,4.295996244550366,4.295996244550366,4.295996244550366,135.79698723687727,135.79698723687727,64.29435272902123,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be3Rh,mp-864894,0.0,-0.442138165,0.0,8,74.96899515530822,5.756348830071154,P6_3/mmc,194,hexagonal,4.808882740006838,4.808879525837805,3.74336565,90.0,90.0,119.99983481898349,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
BePd2,mp-13452,0.0,-0.5061120183333321,0.0,3,37.26475217742036,9.885862475818971,I4/mmm,139,tetragonal,2.753825185785283,2.7538247739320503,5.2856500917024265,105.09970884425351,105.09973052956221,90.00000779490429,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
BePd,mp-11274,0.0,-0.5927108225000001,0.0,2,22.226847745235183,8.623789119848183,Pm-3m,221,cubic,2.81163727,2.81163727,2.81163727,90.0,90.0,90.0,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
