formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Li2CrO3,mp-1280547,1.0792,-2.212348485694443,0.043965361666668,24,211.97798985935302,3.568220361657857,P-1,2,triclinic,2.92062180914219,9.769633836292229,7.678532746341973,84.99759007741643,78.35833201482463,81.7393570214763,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li4CrO4,mp-756711,2.094,-2.173623640370369,0.017784895833337002,18,174.10224915490508,2.742242310289388,P-1,2,triclinic,7.6055933424798585,5.134831803387616,5.101416914554552,67.77841777493781,96.97795168241664,109.26477235778994,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2CrO4,mp-758665,2.8863000000000003,-2.038688971666666,0.049585200238095005,14,185.68041161322327,2.322955574885886,P-1,2,triclinic,5.170308,5.390329246432447,7.769428074503167,83.20305840370963,109.09257896581079,114.81599784558617,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
LiCrO2,mp-756362,3.3013,-2.407066187708333,0.0015556656249990002,16,140.0899805787712,4.311589276622782,Fd-3m,227,cubic,5.829590576373789,5.82958825803671,5.828376896354367,60.00685725508747,60.00689241604242,60.01627119390076,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li2CrO4,mp-756967,3.077899999999999,-2.06795511952381,0.020319052380952003,14,180.95509602095262,2.383615365295378,Pmn2_1,31,orthorhombic,5.06825,5.361528,6.659233,90.0,90.0,90.0,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li3CrO4,mp-770632,1.1496,-2.180159844375,0.0,16,165.25786310812856,2.749514861687902,Pmn2_1,31,orthorhombic,6.288086891866478,5.358589078626862,4.904482018485694,90.00651872670286,89.99942903602602,89.99985481346108,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li7Cr5O12,mp-757087,0.0,-2.2980387297222222,0.034429120624999004,24,216.02712663975817,3.847664625587071,C2/m,12,monoclinic,5.093479101690906,5.093479101690906,9.786833149087299,84.98760620605613,84.98760620605613,120.20850908478313,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Li4Cr5O10,mp-753172,0.0,-2.326938171754387,0.034968337485379,38,369.8052866298681,4.020966155711171,P-1,2,triclinic,6.646557120294838,6.6414673320142885,8.917576989052632,81.19423691650191,94.66283577162753,107.96169745673794,bi-metallic oxide,Li,Li2O2(s),Passivation,Li2O2(s),Passivation
Be2Cr,mp-30438,0.0,-0.22044840916666703,0.0,12,114.39090100088167,4.065767990849648,P6_3/mmc,194,hexagonal,4.313351480055277,4.3133507802265765,7.099516960000089,90.00000444253368,89.99997648231927,119.99944677664506,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
Be12Cr,mp-1590,0.0,-0.050614865384615,0.00025784442307600003,13,107.9943631152315,2.462374064031555,C2/m,12,monoclinic,4.125156006505035,5.5140272628400755,5.514334140633557,82.00282790591515,68.10872153494635,68.10967750346492,bi-metallic metal,Be,Be[+2],Passivation,Be[+2],Passivation
BeCrO4,mp-770887,2.4705,-2.060414783749999,0.012121525083333001,24,321.71117092369605,2.580913183956837,P2_1/c,14,monoclinic,8.48117901,4.891404329632027,8.788374712641593,61.933807976116086,90.0,90.0,bi-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
BeCr2O4,mp-1193887,2.8371,-2.600075347142854,0.0,28,254.39765156712795,4.621405962925308,Pnma,62,orthorhombic,4.542211791986698,5.708406709181096,9.811396170001027,90.0000184187871,90.00005469981205,90.00639127756507,bi-metallic oxide,Be,Be[+2],Passivation,Be[+2],Passivation
Mg149Cr,mp-1185585,0.0245,0.010655343366666,0.010655343366666,150,3433.213931869023,1.776729495002174,P-6m2,187,hexagonal,15.930516530017481,15.93052082,15.62105859,90.0,90.0,120.00001345420027,bi-metallic metal,Mg,Mg[+2],Passivation,Mg[+2],Passivation
MgCrO4,mp-504578,2.3629000000000002,-2.174862918333334,0.010634422499999002,24,310.20639745924234,3.004083400617851,C2/m,12,monoclinic,6.844062873586493,6.844062873586493,6.841511305703806,79.91160081625739,79.91160081625739,85.33202601543194,bi-metallic oxide,Mg,Mg[+2],Passivation,Mg[+2],Passivation
