formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
Zr5Sc2O13,mp-675672,3.6470000000000002,-3.807544399250001,0.044852077187494004,40,475.7006465491002,5.2641776213255564,R3,146,trigonal,8.099283099909337,8.099283099909337,8.099283426643433,73.39388960871175,73.39388960871175,73.39389004405544,bi-metallic oxide,Zr,ZrO[+2],Passivation,ZrO[+2],Passivation
Zr3Sc4O12,mp-532444,3.6151,-3.876432743263158,0.018824425289468,95,1144.621932266098,4.682152048322889,P1,1,triclinic,6.203674,6.241556081021223,29.988957764414124,90.15720168107306,90.15969839835212,99.68721449844583,bi-metallic oxide,Zr,ZrO[+2],Passivation,ZrO[+2],Passivation
Zr3Sc4O12,mp-674363,3.9537,-3.871525280526316,0.023731888026309003,38,460.9058922154436,4.651096039544568,P1,1,triclinic,6.2168,6.24143178542592,12.456936179932848,99.53755225166039,99.41429857648443,99.54795242316932,bi-metallic oxide,Zr,ZrO[+2],Passivation,ZrO[+2],Passivation
Zr3Sc4O12,mp-675469,3.9986,-3.8723297899999993,0.022927378552626002,38,460.497998677806,4.655215822959282,P-1,2,triclinic,6.232098,6.249876568786379,12.397753061982684,99.37639915320747,99.43096997024605,99.67259425709963,bi-metallic oxide,Zr,ZrO[+2],Passivation,ZrO[+2],Passivation
Zr25Sc6O59,mp-686417,3.581299999999999,-3.791790456722223,0.047679779236107,180,2124.381509283393,5.462692792818079,P1,1,triclinic,13.082814,13.078423604196034,13.085966200104409,99.87979788152516,99.91683036529818,100.04025973094026,bi-metallic oxide,Zr,ZrO[+2],Passivation,ZrO[+2],Passivation
ScNbO4,mp-553961,3.3026,-3.466261806666667,0.0,12,142.22346585957226,4.713655860090216,P2/c,13,monoclinic,4.842765479962682,5.127547858166316,5.7282192,90.0,90.0,90.88261831202979,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc11Nb3O24,mp-530728,2.543599999999999,-3.713204590526315,0.017515549868429,76,887.4107663734012,4.33082110982498,P1,1,triclinic,6.138254,6.168482385937484,23.82119485157006,92.98267828836067,92.89380511430447,99.26060915369642,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc11Nb3O24,mp-676191,3.076,-3.714919614605263,0.015800525789481,38,436.9027663906984,4.398252398176748,P1,1,triclinic,7.903708077307807,7.919263805733635,7.946988705332036,71.50192674042877,72.08066723443093,72.2854987290847,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc2(MoO4)3,mp-14118,3.608399999999999,-2.616971971029412,0.0,68,1232.9957070338305,3.069110427421912,Pbcn,60,orthorhombic,9.59257344,9.684526720000001,13.27235624,90.0,90.0,90.0,bi-metallic oxide,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScRu2,mp-567750,0.0,-0.39005980166666304,0.0,12,194.4607410519056,8.440005172326991,P6_3/mmc,194,hexagonal,5.10082003,5.100820373616685,8.630208030000063,89.99998262067577,90.0,119.99999783643607,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScRu,mp-30867,0.0,-0.5430755124999991,0.0,2,32.72296976281971,7.410138302526712,Pm-3m,221,cubic,3.1985335,3.1985335,3.1985335,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc5Ru3,mp-1209003,0.0,-0.456239408124999,0.012595775535714001,16,306.64491230686184,5.718322763232915,P6_3/mcm,193,hexagonal,5.861459,7.772302885177918,7.772302885177918,120.00000753481943,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc11Ru4,mp-1194143,0.0,-0.404493565333333,0.0,30,595.9356416732267,5.00887733216125,Fm-3m,225,cubic,9.445786375845705,9.445786375845705,9.445786375845705,60.00000000000001,60.00000000000001,60.00000000000001,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc44Ru7,mp-1209947,0.0,-0.211793357647058,0.0,102,2242.22205522537,3.977715670456556,F-43m,216,cubic,14.69144586984147,14.69144586984147,14.69144586984147,60.00000000000001,60.00000000000001,60.00000000000001,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc57Ru13,mp-1210377,0.020799999999999003,-0.286477200285713,0.0,140,2994.357852324877,4.299358291183983,Pm-3,200,cubic,14.41344849,14.41344849,14.41344849,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScRh,mp-1780,0.0,-1.031211102499996,0.0,2,33.290103438813674,7.375454735967252,Pm-3m,221,cubic,3.2169060800000002,3.2169060800000002,3.2169060800000002,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
ScRh3,mp-635,0.0,-0.6068413837499991,0.0,4,59.481841178569276,9.87338060268794,Pm-3m,221,cubic,3.90356547,3.90356547,3.90356547,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
Sc57Rh13,mp-30863,0.0038000000000000004,-0.420359311785713,0.0,140,3012.7433071668534,4.299424758235072,Pm-3,200,cubic,14.442888,14.442888,14.442888,90.0,90.0,90.0,bi-metallic metal,Sc,Sc[+3],Passivation,Sc2O3(s),Passivation
